pu,nuts2id,EU_id
3095,97,761
3096,97,762
3097,97,763
3098,97,764
3099,97,765
3100,97,766
3101,97,767
3156,216,768
3157,216,769
3158,216,770
3159,216,771
3160,216,772
3161,216,773
3162,216,774
3163,216,775
3164,216,776
3165,216,777
3166,216,778
3167,216,779
3168,216,780
3169,216,781
3170,216,782
3171,216,783
3172,216,784
3173,216,785
3174,216,786
3175,216,787
3176,216,788
3177,216,789
3178,216,790
3179,216,791
3180,216,792
3181,216,793
3182,216,794
3183,216,795
3184,97,796
3185,97,797
3186,97,798
3187,97,799
3188,97,800
3189,97,801
3190,97,802
3191,97,803
3192,97,804
3193,97,805
3194,97,806
3195,97,807
3196,97,808
3197,97,809
3198,97,810
3199,97,811
3200,97,812
3201,97,813
3202,97,814
3203,97,815
3204,97,816
3205,97,817
3206,97,818
3207,97,819
3208,97,820
3209,97,821
3260,216,822
3261,216,823
3262,216,824
3263,216,825
3264,216,826
3265,216,827
3266,216,828
3267,216,829
3268,216,830
3269,216,831
3270,216,832
3271,216,833
3272,216,834
3273,216,835
3274,216,836
3275,216,837
3276,216,838
3277,216,839
3278,216,840
3279,216,841
3280,216,842
3281,216,843
3282,216,844
3283,216,845
3284,216,846
3285,216,847
3286,216,848
3287,216,849
3288,216,850
3289,97,851
3290,97,852
3291,97,853
3292,97,854
3293,97,855
3294,97,856
3295,97,857
3296,97,858
3297,97,859
3298,97,860
3299,97,861
3300,97,862
3301,97,863
3302,97,864
3303,97,865
3304,97,866
3305,97,867
3306,97,868
3307,97,869
3308,97,870
3309,97,871
3310,97,872
3311,97,873
3312,97,874
3313,97,875
3366,216,876
3367,216,877
3368,216,878
3369,216,879
3370,216,880
3371,216,881
3372,216,882
3373,216,883
3374,216,884
3375,216,885
3376,216,886
3377,216,887
3378,216,888
3379,216,889
3380,216,890
3381,216,891
3382,216,892
3383,216,893
3384,216,894
3385,216,895
3386,216,896
3387,216,897
3388,216,898
3389,216,899
3390,216,900
3391,216,901
3392,216,902
3393,216,903
3394,216,904
3395,216,905
3396,216,906
3397,97,907
3398,97,908
3399,97,909
3400,97,910
3401,97,911
3402,97,912
3403,97,913
3404,97,914
3405,97,915
3406,97,916
3407,97,917
3408,97,918
3409,97,919
3410,97,920
3411,97,921
3412,97,922
3413,97,923
3414,97,924
3415,97,925
3416,97,926
3417,97,927
3418,97,928
3419,97,929
3420,97,930
3472,216,931
3473,216,932
3474,216,933
3475,216,934
3476,216,935
3477,216,936
3478,216,937
3479,216,938
3480,216,939
3481,216,940
3482,216,941
3483,216,942
3484,216,943
3485,216,944
3486,216,945
3487,216,946
3488,216,947
3489,216,948
3490,216,949
3491,216,950
3492,216,951
3493,216,952
3494,216,953
3495,216,954
3496,216,955
3497,216,956
3498,216,957
3499,216,958
3500,216,959
3501,216,960
3502,216,961
3503,97,962
3504,97,963
3505,97,964
3506,97,965
3507,97,966
3508,97,967
3509,97,968
3510,97,969
3511,97,970
3512,97,971
3513,97,972
3514,97,973
3515,97,974
3516,97,975
3517,97,976
3518,97,977
3519,97,978
3520,97,979
3521,97,980
3522,97,981
3523,97,982
3524,97,983
3525,97,984
3526,97,985
3527,97,986
3579,216,987
3580,216,988
3581,216,989
3582,216,990
3583,216,991
3584,216,992
3585,216,993
3586,216,994
3587,216,995
3588,216,996
3589,216,997
3590,216,998
3591,216,999
3592,216,1000
3593,216,1001
3594,216,1002
3595,216,1003
3596,216,1004
3597,216,1005
