speciesname,taxon_id
Nymphalis_vaualbum,5714374
Algyroides_nigropunctatus,2469363
Stipa_zalesskii,6432021
Chondrosoma_fiduciarium,1979513
Lignyoptera_fumidaria,1963232
Galium_moldavicum,2913153
Gentianella_bohemica,3844100
Carabus_hungaricus,4471132
Sicista_subtilis,2439439
Spermophilus_suslicus,2437323
Astragalus_peterfii,5345142
Carlina_onopordifolia,8529147
Centaurea_jankae,3128022
Crocus_etruscus,2747813
Moehringia_jankae,3810415
Poa_riphaea,2704212
Stipa_bavarica,4144397
Stipa_danubialis,6432155
Stipa_veneta,6432155
Tulipa_hungarica,5299388
Cucullia_mixta,5109677
Polyommatus_eroides,5140244
Pseudophilotes_bavius,4535092
Euphrasia_marchesettii,3737855
Galium_cracoviense,2914482
Galium_sudeticum,2915084
Genista_holopetala,5347723
Kosteletzkya_pentacarpos,4939647
Minuartia_smejkalii,8256125
Artemisia_laciniata,3120923
Campanula_bohemica,5410654
Eryx_jaculus,9595248
Ophisops_elegans,2469702
Podarcis_melisellensis,2468999
Armeria_helodes,5668095
Artemisia_pancicii,3121387
Campanula_gelida,5410656
Centaurea_immanuelis-loewii,3127717
Cerastium_alsinifolium,7267859
Cirsium_brachycephalum,3113465
Colchicum_arenarium,2739933
Dianthus_moravicus,6364219
Erucastrum_palustre,5375519
Apatura_metis,5131860
Pedicularis_sudetica,3171733
Isoetes_malinverniana,7355662
Congeria_kusceri,5855853
Theodoxus_prevostianus,4561959
Brassica_glabrescens,3042605
Cochlearia_polonica,5373247
Theodoxus_transversalis,4562023
Salicornia_veneta,5568373
Moehringia_tommasinii,3810117
Primula_apennina,5641450
Saxifraga_berica,3753004
Centaurea_kartschiana,3128353
Nyctalus_azoreum,5218523
Pipistrellus_maderensis,5218476
Plecotus_teneriffae,5218519
Tarentola_boettgeri,2445052
Tarentola_delalandii,8994891
Tarentola_gomerensis,2445039
Chalcides_sexlineatus,5225153
Cheirolophus_junonianus,3097051
Discula_tabellata,5780146
Gallotia_atlantica,2468656
Gallotia_galloti,8682680
Gallotia_stehlini,2468651
Helichrysum_monogynum,3131776
Rumex_azoricus,4036062
Scabiosa_nitens,4103685
Bunium_brevifolium,7992416
Orchis_scopulorum,2849506
Chaerophyllum_azoricum,3642488
Ammi_trifoliatum,3631681
Deschampsia_maderensis,9599733
Euphrasia_azorica,3740173
Euphrasia_grandiflora,3738598
Lactuca_watsoniana,4210368
Ophioglossum_polyphyllum,7667287
Sanicula_azorica,3639728
Tarentola_angustimentalis,2445033
Caseolus_calculus,4565665
Chalcides_viridianus,5225148
Discula_testudinalis,5780094
Gallotia_simonyi,2468673
Anthyllis_lemanniana,5352359
Idiomela_subplicata,4564225
Lotus_azoricus,5356879
Melanoselinum_decipiens,9244277
Myosotis_azorica,5341176
Odontites_holliana,7824523
Asplenium_hemionitis,7310665
Saxifraga_portosanctana,3752577
Scilla_maderensis,2767295
Sibthorpia_peregrina,3732619
Teucrium_betonicum,3898359
Viola_paradoxa,8063597
Beta_patula,5383924
Plantago_malato-belizii,4156295
Chamaemeles_coriacea,3031018
Cheirolophus_massonianus,3097055
Cirsium_latifolium,3112721
Convolvulus_massonii,9258180
Echium_candicans,7551118
Euphorbia_stygiana,3069679
Jasminum_azoricum,3172271
Arceuthobium_azoricum,4069218
Limonium_arborescens,7875825
Limonium_dendroides,4090542
Limonium_spectabile,4089510
Limonium_sventenii,4089302
Argyranthemum_lidii,3104499
Maytenus_umbellata,3791289
Monanthes_wildpretii,4197353
Myrica_rivas-martinezii,3745163
Onopordum_nogalesii,3094899
Parolinia_schizogynoides,5377797
Pericallis_hadrosoma,3087419
Phalaris_maderensis,5678643
Picconia_azorica,5549939
Sambucus_palmensis,3857544
Sedum_brissemoretii,7670884
Sideritis_cystosiphon,3891662
Sideritis_discolor,8117625
Sideritis_infernalis,3890500
Sideritis_marmorea,3889964
Solanum_lidii,2929993
Sorbus_maderensis,10560332
Sventenia_bupleuroides,3105709
Tanacetum_ptarmiciflorum,4218280
Atractylis_arbuscula,5398267
Teline_rosmarinifolia,2940083
Atractylis_preauxiana,5398244
Aeonium_saundersii,4197651
Bencomia_brachystachya,3032182
Berberis_maderensis,3982110
Bupleurum_handiense,3638501
Calendula_maderensis,5694235
Caralluma_burchardii,9296604
Chalcides_simonyi,5225148
Cheirolophus_duranii,3097073
Cheirolophus_ghomerytus,3097041
Cistus_chinamadensis,7331358
Convolvulus_lopez-socasii,3676970
Crambe_arborea,5373530
Crambe_laevigata,5373461
Crambe_sventenii,5373522
Dendriopoterium_pulidoi,10800268
Anagyris_latifolia,3965840
Dorycnium_spectabile,5356950
Dracaena_draco,5304469
Euphorbia_handiensis,3067114
Ferula_latipinna,3637808
Frangula_azorica,7930611
Geomitra_moniziana,5783290
Globularia_ascanii,5578445
Helianthemum_bystropogophyllum,3596509
Hypochoeris_oligocephala,3093880
Isoplexis_chalcantha,8013319
Isoplexis_isabelliana,5559164
Kunkeliella_subsucculenta,7720261
Marcetella_maderensis,3024897
Monizia_edulis,9393490
Thamnobryum_fernandesii,7700234
Marsilea_azorica,5613457
Isoetes_azorica,8351014
Oenanthe_divaricata,5540468
Monachus_monachus,2434779
Stenella_frontalis,5220045
Kogia_simus,2440691
Steno_bredanensis,2440433
Cystophora_cristata,5219378
Sinapidendron_rupestre,3047767
Lotus_callis-viridis,5356840
Musschia_aurea,3164483
Musschia_wollastonii,3164489
Spergularia_azorica,3813164
Stemmacantha_cynaroides,3142204
Teline_salsoloides,9784794
Azorina_vidalii,3166266
Aichryson_dumosum,4197241
Crocidura_canariensis,2435551
Echinodium_spinosum,2675958
Echium_gentianoides,4059020
