pu,nuts2id,BR_ID,EU_id
3420,97,6,930
3472,216,1,931
3473,216,1,932
3474,216,1,933
3475,216,1,934
3476,216,1,935
3477,216,1,936
3478,216,1,937
3479,216,1,938
3480,216,1,939
3481,216,1,940
3482,216,1,941
3483,216,1,942
3484,216,1,943
3485,216,1,944
3486,216,1,945
3487,216,1,946
3488,216,1,947
3489,216,1,948
3490,216,1,949
3491,216,6,950
3492,216,6,951
3493,216,6,952
3494,216,6,953
3495,216,6,954
3496,216,6,955
3497,216,6,956
3498,216,6,957
3499,216,6,958
3500,216,6,959
3501,216,6,960
3502,216,6,961
3503,97,6,962
3504,97,6,963
3505,97,6,964
3506,97,6,965
3507,97,6,966
3508,97,6,967
3509,97,6,968
3510,97,6,969
3511,97,6,970
3512,97,6,971
3513,97,6,972
3514,97,6,973
3515,97,6,974
3516,97,6,975
3517,97,6,976
3518,97,6,977
3519,97,6,978
3520,97,6,979
3521,97,6,980
3522,97,6,981
3523,97,6,982
3524,97,6,983
3525,97,6,984
3526,97,6,985
3527,97,6,986
3579,216,1,987
3580,216,1,988
3581,216,1,989
3582,216,1,990
3583,216,1,991
3584,216,1,992
3585,216,1,993
3586,216,1,994
3587,216,1,995
3588,216,1,996
3589,216,1,997
3590,216,1,998
3591,216,1,999
3592,216,1,1000
3593,216,1,1001
3594,216,1,1002
3595,216,1,1003
3596,216,1,1004
3597,216,1,1005
3598,216,6,1006
3599,216,6,1007
3600,216,6,1008
3601,216,6,1009
3602,216,6,1010
3603,216,6,1011
3604,216,6,1012
3605,216,6,1013
3606,216,6,1014
3607,216,6,1015
3608,216,6,1016
3609,216,6,1017
3610,97,6,1018
3611,97,6,1019
3612,97,6,1020
3613,97,6,1021
3614,97,6,1022
3615,97,6,1023
3616,97,6,1024
3617,97,6,1025
3618,97,6,1026
3619,97,6,1027
3620,97,6,1028
3621,97,6,1029
3622,97,6,1030
3623,97,6,1031
3624,97,6,1032
3625,97,6,1033
3626,97,6,1034
3627,97,6,1035
3628,97,6,1036
3629,97,6,1037
3630,97,6,1038
3631,97,6,1039
3632,97,6,1040
3633,97,6,1041
3634,97,6,1042
3635,97,6,1043
3684,216,1,1044
3685,216,1,1045
3686,216,1,1046
3687,216,1,1047
3688,216,1,1048
3689,216,1,1049
3690,216,1,1050
3691,216,1,1051
3692,216,1,1052
3693,216,1,1053
3694,216,1,1054
3695,216,1,1055
3696,216,1,1056
3697,216,1,1057
3698,216,1,1058
3699,216,1,1059
3700,216,1,1060
3701,216,1,1061
3702,216,1,1062
3703,216,6,1063
3704,216,6,1064
3705,216,6,1065
3706,216,6,1066
3707,216,6,1067
3708,216,6,1068
3709,216,6,1069
3710,216,6,1070
3711,216,6,1071
3712,216,6,1072
3713,216,6,1073
3714,216,6,1074
3715,216,6,1075
3716,216,6,1076
3717,97,6,1077
3718,97,6,1078
3719,97,6,1079
3720,97,6,1080
3721,97,6,1081
3722,97,6,1082
3723,97,6,1083
3724,97,6,1084
3725,97,6,1085
3726,97,6,1086
3727,97,6,1087
3728,97,6,1088
3729,97,6,1089
3730,97,6,1090
3731,97,6,1091
3732,97,6,1092
3733,97,6,1093
3734,97,6,1094
3735,97,6,1095
3736,97,6,1096
3737,97,6,1097
3738,97,6,1098
3739,97,6,1099
3740,97,6,1100
3741,97,6,1101
3742,97,6,1102
3743,97,6,1103
3795,216,1,1104
3796,216,1,1105
3797,216,1,1106
3798,216,1,1107
3799,216,1,1108
3800,216,1,1109
3801,216,1,1110
3802,216,1,1111
3803,216,1,1112
3804,216,1,1113
3805,216,1,1114
3806,216,1,1115
3807,216,1,1116
3808,216,1,1117
3809,216,1,1118
3810,216,1,1119
3811,216,1,1120
3812,216,1,1121
3813,216,6,1122
3814,216,6,1123
3815,216,6,1124
3816,216,6,1125
3817,216,6,1126
3818,216,6,1127
3819,216,6,1128
3820,216,6,1129
3821,216,6,1130
3822,216,6,1131
3823,216,6,1132
3824,216,6,1133
3825,216,6,1134
3826,216,6,1135
3827,216,6,1136
3828,216,6,1137
3829,97,6,1138
3830,97,6,1139
3831,97,6,1140
3832,97,6,1141
3833,97,6,1142
3834,97,6,1143
3835,97,6,1144
3836,97,6,1145
3837,97,6,1146
3838,97,6,1147
3839,97,6,1148
3840,97,6,1149
3841,97,6,1150
3842,97,6,1151
3843,97,6,1152
3844,97,6,1153
3845,97,6,1154
