name,value
France.FR21.CrpLnd.Area,11.203
France.FR21.CrpLnd.HiSol_CO2,33.216
France.FR21.CrpLnd.HiSol_N2O,3.432
,
France.FR22.GRSLND.Area,3.9
France.FR22.GRSLND.HiSol_CO2,6.401
France.FR22.GRSLND.HiSol_N2O,3.432
,
France.FR22.CrpLnd.Area,32.031
France.FR22.CrpLnd.HiSol_CO2,33.214
France.FR22.CrpLnd.HiSol_N2O,3.432
,
France.FR23.GRSLND.Area,0.088
France.FR23.GRSLND.HiSol_CO2,6.407
France.FR23.GRSLND.HiSol_N2O,3.431
,
France.FR23.CrpLnd.Area,0.249
France.FR23.CrpLnd.HiSol_CO2,33.177
France.FR23.CrpLnd.HiSol_N2O,3.429
,
France.FR24.GRSLND.Area,1.867
France.FR24.GRSLND.HiSol_CO2,6.401
France.FR24.GRSLND.HiSol_N2O,3.431
,
France.FR24.CrpLnd.Area,14.442
France.FR24.CrpLnd.HiSol_CO2,33.213
France.FR24.CrpLnd.HiSol_N2O,3.431
,
France.FR25.GRSLND.Area,4.687
France.FR25.GRSLND.HiSol_CO2,6.401
France.FR25.GRSLND.HiSol_N2O,3.431
,
France.FR25.CrpLnd.Area,2.521
France.FR25.CrpLnd.HiSol_CO2,33.21
France.FR25.CrpLnd.HiSol_N2O,3.429
,
France.FR26.GRSLND.Area,1.206
France.FR26.GRSLND.HiSol_CO2,6.399
France.FR26.GRSLND.HiSol_N2O,3.431
,
France.FR26.CrpLnd.Area,1.274
France.FR26.CrpLnd.HiSol_CO2,33.221
France.FR26.CrpLnd.HiSol_N2O,3.435
,
France.FR30.GRSLND.Area,3.586
France.FR30.GRSLND.HiSol_CO2,6.401
France.FR30.GRSLND.HiSol_N2O,3.432
,
France.FR30.CrpLnd.Area,13.051
France.FR30.CrpLnd.HiSol_CO2,33.214
France.FR30.CrpLnd.HiSol_N2O,3.432
,
France.FR41.GRSLND.Area,2.647
France.FR41.GRSLND.HiSol_CO2,6.401
France.FR41.GRSLND.HiSol_N2O,3.435
,
France.FR41.CrpLnd.Area,6.228
France.FR41.CrpLnd.HiSol_CO2,33.213
France.FR41.CrpLnd.HiSol_N2O,3.432
,
France.FR42.GRSLND.Area,0.586
France.FR42.GRSLND.HiSol_CO2,6.401
France.FR42.GRSLND.HiSol_N2O,3.434
,
France.FR42.CrpLnd.Area,4.41
France.FR42.CrpLnd.HiSol_CO2,33.215
France.FR42.CrpLnd.HiSol_N2O,3.432
,
France.FR43.GRSLND.Area,1.123
France.FR43.GRSLND.HiSol_CO2,6.401
France.FR43.GRSLND.HiSol_N2O,3.432
,
France.FR43.CrpLnd.Area,0.868
France.FR43.CrpLnd.HiSol_CO2,33.217
France.FR43.CrpLnd.HiSol_N2O,3.429
,
France.FR51.GRSLND.Area,7.751
France.FR51.GRSLND.HiSol_CO2,6.401
France.FR51.GRSLND.HiSol_N2O,3.433
,
France.FR51.CrpLnd.Area,6.897
France.FR51.CrpLnd.HiSol_CO2,33.212
France.FR51.CrpLnd.HiSol_N2O,3.433
,
France.FR52.GRSLND.Area,0.115
France.FR52.GRSLND.HiSol_CO2,6.4
France.FR52.GRSLND.HiSol_N2O,3.431
,
France.FR52.CrpLnd.Area,0.7
France.FR52.CrpLnd.HiSol_CO2,33.194
France.FR52.CrpLnd.HiSol_N2O,3.429
,
France.FR53.GRSLND.Area,1.535
France.FR53.GRSLND.HiSol_CO2,6.401
France.FR53.GRSLND.HiSol_N2O,3.429
,
France.FR53.CrpLnd.Area,12.706
France.FR53.CrpLnd.HiSol_CO2,33.212
France.FR53.CrpLnd.HiSol_N2O,3.432
,
France.FR63.GRSLND.Area,2.705
France.FR63.GRSLND.HiSol_CO2,6.401
France.FR63.GRSLND.HiSol_N2O,3.435
,
France.FR63.CrpLnd.Area,0.721
France.FR63.CrpLnd.HiSol_CO2,33.216
France.FR63.CrpLnd.HiSol_N2O,3.429
,
France.FR71.GRSLND.Area,0.493
France.FR71.GRSLND.HiSol_CO2,6.402
France.FR71.GRSLND.HiSol_N2O,3.434
,
France.FR71.CrpLnd.Area,0.941
France.FR71.CrpLnd.HiSol_CO2,33.215
