NUTS2,name,area_2020_f455,area_2020_ref,area_2030_ref,area_2030_f455,f455_change,ref_change,area,perc_f455_change,perc_ref_change,diff_2020
BG02,WoodlandForest_multi,211.81278125,245.780453125,254.9355625,108.2730625,-103.53971875,9.155109374999995,1803.6975551340179,-0.05740414652960309,0.00507574529274103,33.96767187500001
CZ06,Cropland_med,218.71660152585233,251.13201943325834,116.83833462717334,87.71394618372354,-131.00265534212878,-134.293684806085,1396.9841556837123,-0.09377533367800683,-0.09613114383559988,32.41541790740601
RO01,Pasture_low,349.819318269508,377.184081293634,377.184081293634,349.819318269508,0,0,3754.5134507013636,0,0,27.364763024125978
DE23,WoodlandForest_prod,96.9771484375,123.28915625,59.6945,426.1069375,329.1297890625,-63.59465625000001,969.5748671108895,0.3394578389219506,-0.06559024826983963,26.3120078125
SE0A,Cropland_low,186.80227469816833,212.87537391262336,382.3439735824893,382.2796102275483,195.47733552937996,169.46859966986594,3091.141784744692,0.06323790661887257,0.05482394903599122,26.073099214455027
DE22,Cropland_med,182.83139565288465,208.31059082754967,287.35199953665466,235.96584434874967,53.13444869586502,79.04140870910499,1032.454499294613,0.05146420373214238,0.07655679622017934,25.479195174665023
PT12,WoodlandForest_prod,1044.2726875,1069.5785,1052.648875,999.6594375,-44.61325000000011,-16.929624999999987,2587.906370026673,-0.017239128322691324,-0.006541822840300632,25.305812500000002
PL03,WoodlandForest_multi,443.18071875,466.03984375,462.87909375,168.5299375,-274.65078125,-3.1607500000000073,2528.011197930283,-0.10864302400039223,-0.001250291138974288,22.859125000000006
SE09,Cropland_med,4.725,26.4946602170617,4.725,4.725,0,-21.7696602170617,3545.133632646737,0,-0.006140716394041495,21.7696602170617
SI00,WoodlandForest_multi,967.2006875,988.7399375,1120.26675,646.7485625,-320.4521249999999,131.5268125,2026.0281843815887,-0.15816765406835273,0.06491855025212612,21.539250000000038
DEB1,WoodlandForest_multi,103.716046875,124.2811640625,167.6853125,0,-103.716046875,43.40414843750001,814.7956817933563,-0.12729086468244669,0.05326997848340085,20.565117187499993
