PUID,WoodlandForest,HeathlandShrub,Grassland,Pasture,SparseVeg,Cropland,Urban,Wetlands,RiversLakes,MarineTransitional,area,Status
27935,142.2654571533203,0,0,9,0,9,0,0,0,0,1e+08,N2K
27936,2203.039794921875,0,0,133.7344970703125,0,4,1,0,0,0,1e+08,N2K
27937,497.6122131347656,0,0,145,0,3,6,0,24,0,1e+08,N2K
27938,260.3841247558594,0,35,91.717681884765625,0,55.9088134765625,1,0,33,0,1e+08,N2K
27939,3964.780517578125,0,0,209,0,146.01686096191406,8,0,0,0,1e+08,N2K
27940,2809.35791015625,0,0,32.282318115234375,0,121.76017761230469,18.47344970703125,0,35.87562561035156,0,1e+08,N2K
27941,3386.7119140625,0,0,90,0,80.85884094238281,16,0,36.74823760986328,0,1e+08,N2K
27942,1397.18408203125,0,0,8,0,57.9468994140625,0,0,0,0,1e+08,N2K
27943,1577.1444091796875,0,0,59.314151763916016,0,28.720808029174805,0,0,0,0,1e+08,N2K
27944,2503.5771484375,0,0,223,0,243.8057403564453,18,0,68,0,1e+08,N2K
27945,1502.9609375,0,0,41,0,6.1411590576171875,0,0,0,0,1e+08,N2K
27946,621.7845458984375,0,0,54.29420471191406,0,0,0,0,0,0,1e+08,N2K
27947,1683.5242919921875,0,0,40.85884094238281,0,0,7,0,0,0,1e+08,N2K
27948,2145.305908203125,0,0,70.42347717285156,0,25,0,0,0,0,1e+08,N2K
27949,702.7164306640625,0,0,180.8438262939453,0,6.8588409423828125,17,0,0,0,1e+08,N2K
27950,82.04865264892578,0,0,21,0,5.614609241485596,4,0,0,0,1e+08,N2K
27951,5,0,0,2.36725115776062,0,29.717681884765625,20.43536376953125,0,0,0,1e+08,N2K
27952,175.52655029296875,0,0,66.9468994140625,0,27.808868408203125,30.984987258911133,0,59,0,1e+08,N2K
27953,785,0,0,220.71768188476562,0,5,92,0,23,0,1e+08,N2K
27954,20,0,0,53.17612075805664,0,25,14,0,0,0,1e+08,N2K
27955,110.47344970703125,0,0,70.48714447021484,0,6,4,0,0,0,1e+08,N2K
27956,928.67254638671875,0,0,162.1411590576172,0,0,1,0,0,0,1e+08,N2K
27957,1141.0294189453125,0,0,10.121172904968262,0,0,0,0,0,0,1e+08,N2K
27958,2308.90869140625,0,0,275.15802001953125,0,1,4,0,0,0,1e+08,N2K
27959,145.58409118652344,0,0,17.773908615112305,0,8.579648971557617,0,0,0,0,1e+08,N2K
27960,1093.329833984375,0,0,77.770782470703125,0,52.153045654296875,12,0,0,0,1e+08,N2K
27961,469.9617004394531,0,0,43.282318115234375,0,78.793853759765625,3,0,0,0,1e+08,N2K
27962,1863.85888671875,0,245,0,0,31.159297943115234,0,0,0,0,1e+08,N2K
27963,83.67643737792969,0,0,92.36724853515625,0,123.1729965209961,0,0,0,0,1e+08,N2K
27964,778.18988037109375,0,0,144.42034912109375,0,190.3004608154297,1,0,0,0,1e+08,N2K
27965,374.24432373046875,0,0,95.01188659667969,0,63.04997253417969,0,0,0,0,1e+08,N2K
27966,21,0,0,320.6596374511719,0,104.66770935058594,2,0,0,0,1e+08,N2K
27967,485.4248046875,0,0,598.5408935546875,0,66.282318115234375,8.473450660705566,0,31.106199264526367,0,1e+08,N2K
27968,518.84515380859375,0,0,339.6446228027344,0,86.43849182128906,13,0,39,0,1e+08,N2K
27969,0,0,0,637.98809814453125,0,169.66770935058594,29,0,29,0,1e+08,N2K
27970,0,0,0,14.473450660705566,0,0,0,0,0,0,1e+08,N2K
27971,88.24110412597656,0,0,0,0,252.38539123535156,8,0,0,0,1e+08,N2K
27972,67.17924499511719,0,0,3.9469003677368164,0,13.141159057617188,0,0,0,0,1e+08,N2K
27973,55.57652282714844,0,0,13,0,1,0,0,0,0,1e+08,N2K
27974,74.52655029296875,0,0,86.20927429199219,0,10,0,0,0,0,1e+08,N2K
27975,163.0118865966797,0,0,205.42347717285156,0,23,0,0,0,0,1e+08,N2K
27976,315.4115905761719,0,28,72.0531005859375,0,27,2,0,0,0,1e+08,N2K
27977,219.39414978027344,0,0,86.138031005859375,0,39.85884094238281,0,53,0,0,1e+08,N2K
27978,21.55274772644043,0,0,106.28231811523438,0,218,2,0,0,0,1e+08,N2K
